lemma,poscode,surface
celecoxib,3,celecoxib
diclofenac,3,diclofenac
diflunisal,3,diflunisal
etodolac,3,etodolac
fenoprofen,3,fenoprofen
flurbiprofen,3,flurbiprofen
ibuprofen,3,ibuprofen
indomethacin,3,indomethacin
ketoprofen,3,ketoprofen
ketorolac,3,ketorolac
meclofenamate,3,meclofenamate
mefenamic acid,3,mefenamic acid
meloxicam,3,meloxicam
nabumetone,3,nabumetone
naproxen,3,naproxen
oxaprozin,3,oxaprozin
piroxicam,3,piroxicam
sulindac,3,sulindac
tolmetin,3,tolmetin
hydromorphone,3,hydromorphone
fentanyl,3,fentanyl
levorphanol,3,levorphanol
methadone,3,methadone
morphine,3,morphine
oxycodone,3,oxycodone
oxymorphone,3,oxymorphone
tramadol,3,tramadol
butorphanol,3,butorphanol
codeine,3,codeine
meperidine,3,meperidine
nalbuphine,3,nalbuphine
pentazocine,3,pentazocine
tapentadol,3,tapentadol
lidocaine,3,lidocaine
lidocaine and prilocaine,3,lidocaine and prilocaine
acamprosate,3,acamprosate
disulfiram,3,disulfiram
naltrexone,3,naltrexone
buprenorphine,3,buprenorphine
buprenorphine/naloxone,3,buprenorphine/naloxone
naloxone,3,naloxone
bupropion,3,bupropion
nicotine,3,nicotine
varenicline,3,varenicline
amikacin,3,amikacin
gentamicin,3,gentamicin
kanamycin,3,kanamycin
neomycin,3,neomycin
paromomycin,3,paromomycin
streptomycin,3,streptomycin
tobramycin,3,tobramycin
cefadroxil,3,cefadroxil
cefazolin,3,cefazolin
cephalexin,3,cephalexin
cefaclor,3,cefaclor
cefoxitin,3,cefoxitin
cefprozil,3,cefprozil
cefuroxime,3,cefuroxime
cefdinir,3,cefdinir
cefditoren,3,cefditoren
cefixime,3,cefixime
cefotaxime,3,cefotaxime
cefpodoxime,3,cefpodoxime
ceftazidime,3,ceftazidime
ceftibuten,3,ceftibuten
ceftriaxone,3,ceftriaxone
cefepime,3,cefepime
ceftaroline,3,ceftaroline
amoxicillin,3,amoxicillin
amoxicillin and clavulanate potassium,3,amoxicillin and clavulanate potassium
ampicillin,3,ampicillin
