lemma,poscode,surface
Angelica,3,Angelica
Savoy cabbage,3,Savoy cabbage
Silver linden,3,Silver linden
Kiwi,3,Kiwi
Allium,3,Allium
Garden onion,3,Garden onion
Leek,3,Leek
Garlic,3,Garlic
Chives,3,Chives
Lemon verbena,3,Lemon verbena
Cashew nut,3,Cashew nut
Pineapple,3,Pineapple
Dill,3,Dill
Custard apple,3,Custard apple
Wild celery,3,Wild celery
Peanut,3,Peanut
Burdock,3,Burdock
Horseradish,3,Horseradish
Tarragon,3,Tarragon
Mugwort,3,Mugwort
Asparagus,3,Asparagus
Oat,3,Oat
Star fruit,3,Star fruit
Brazil nut,3,Brazil nut
Common beet,3,Common beet
Borage,3,Borage
Chinese mustard,3,Chinese mustard
Swede,3,Swede
Rape,3,Rape
Common cabbage,3,Common cabbage
Cauliflower,3,Cauliflower
Brussel sprouts,3,Brussel sprouts
Kohlrabi,3,Kohlrabi
Broccoli,3,Broccoli
Chinese cabbage,3,Chinese cabbage
Turnip,3,Turnip
Pigeon pea,3,Pigeon pea
Tea,3,Tea
Capers,3,Capers
Pepper (C. annuum),3,Pepper (C. annuum)
Papaya,3,Papaya
Safflower,3,Safflower
Caraway,3,Caraway
Pecan nut,3,Pecan nut
Chestnut,3,Chestnut
Roman camomile,3,Roman camomile
Chickpea,3,Chickpea
Endive,3,Endive
Chicory,3,Chicory
Chinese cinnamon,3,Chinese cinnamon
Ceylon cinnamon,3,Ceylon cinnamon
Watermelon,3,Watermelon
Lime,3,Lime
Lemon,3,Lemon
Pummelo,3,Pummelo
Mandarin orange ,3,Mandarin orange 
Sweet orange,3,Sweet orange
Coffee,3,Coffee
Arabica coffee,3,Arabica coffee
Robusta coffee,3,Robusta coffee
Coriander,3,Coriander
Common hazelnut,3,Common hazelnut
Saffron,3,Saffron
Muskmelon,3,Muskmelon
Cucumber,3,Cucumber
Cucurbita ,3,Cucurbita 
Cumin,3,Cumin
Turmeric,3,Turmeric
Quince,3,Quince
Lemon grass,3,Lemon grass
Globe artichoke,3,Globe artichoke
Wild carrot,3,Wild carrot
Japanese persimmon,3,Japanese persimmon
Cardamom,3,Cardamom
Black crowberry,3,Black crowberry
Loquat,3,Loquat
Rocket salad,3,Rocket salad
Wax apple,3,Wax apple
Common buckwheat,3,Common buckwheat
Tartary buckwheat,3,Tartary buckwheat
Fig,3,Fig
Fennel,3,Fennel
Strawberry,3,Strawberry
Black huckleberry,3,Black huckleberry
Soy bean,3,Soy bean
Sunflower,3,Sunflower
Sea-buckthornberry,3,Sea-buckthornberry
Barley,3,Barley
Hyssop,3,Hyssop
Star anise,3,Star anise
Swamp cabbage,3,Swamp cabbage
Sweet potato,3,Sweet potato
Black walnut,3,Black walnut
Common walnut,3,Common walnut
Lettuce,3,Lettuce
Grass pea,3,Grass pea
Sweet bay,3,Sweet bay
Lentils,3,Lentils
Garden cress,3,Garden cress
Lovage,3,Lovage
Flaxseed,3,Flaxseed
